,subject,DI_Clusterize,Prec_Clusterize,Recall_Clusterize,HD_Clusterize,ASSD_Clusterize
50,c0006s0019t01,0.0018603,0.000931,1,100.02,24.588
25,c0005s0010t01,0.0047162,0.0023637,1,103.08,25.991
48,c0006s0014t01,0.0072728,0.0036498,0.99091,113.28,22.76
91,c0010s0024t01,0.0078734,0.0039667,0.52073,84.841,18.729
69,c0007s0036t01,0.0093785,0.0047972,0.20841,92.801,20.282
57,c0007s0016t01,0.0095159,0.0047855,0.82553,105.59,27.641
41,c0005s0049t01,0.011571,0.0059008,0.29614,50.289,14.568
98,c0010s0044t01,0.012659,0.0064635,0.30546,100.08,21.535
85,c0010s0005t01,0.0233,0.011787,1,89.191,16.183
97,c0010s0043t01,0.024674,0.012491,1,83.211,23.115
60,c0007s0020t01,0.030467,0.015881,0.3735,90.923,28.025
23,c0005s0008t01,0.033557,0.017125,0.8292,91.241,21.915
58,c0007s0018t01,0.036157,0.018637,0.60391,104.14,24.315
87,c0010s0013t01,0.037285,0.018997,1,63.222,15.655
67,c0007s0030t01,0.037783,0.019445,0.66388,91.635,22.31
40,c0005s0048t01,0.039769,0.020333,0.90164,33.136,7.4894
68,c0007s0035t01,0.042927,0.02205,0.80744,82.583,16.652
14,c0004s0029t01,0.050978,0.03499,0.093866,35.707,12.605
49,c0006s0018t01,0.052037,0.02679,0.90294,42.166,10.921
54,c0007s0013t01,0.053812,0.028021,0.67615,72.208,16.675
47,c0006s0010t01,0.055702,0.028654,0.99442,88.352,16.916
52,c0007s0005t01,0.056291,0.029072,0.88287,61.008,13.095
77,c0009s0005t01,0.06104,0.031481,1,104.51,20.135
75,c0009s0003t01,0.063252,0.032714,0.95029,100.1,17.996
26,c0005s0011t01,0.063774,0.041101,0.14224,57.948,15.526
55,c0007s0014t01,0.066637,0.03454,0.94235,103.36,19.172
45,c0006s0005t01,0.069829,0.043479,0.17725,77.13,14.318
20,c0005s0003t01,0.073617,0.03823,0.99008,103.85,21.096
32,c0005s0029t01,0.074121,0.052063,0.12861,31.922,10.658
53,c0007s0012t01,0.079357,0.042155,0.67546,101.62,21.66
64,c0007s0025t01,0.081185,0.042421,0.9415,94.9,18.845
79,c0009s0007t01,0.081684,0.042656,0.96044,94.308,21.4
44,c0006s0004t01,0.093826,0.049388,0.936,73.273,14.513
21,c0005s0006t01,0.096182,0.050955,0.85568,48.59,10.68
37,c0005s0042t01,0.097367,0.053562,0.53448,63.253,12.217
56,c0007s0015t01,0.099796,0.052554,0.98723,95.906,18.352
