algorithm,minHD
LINDA,14.731
LINDA,60.679
LINDA,63.04
LINDA,59.287
LINDA,58.609
LINDA,53.122
LINDA,3.1623
LINDA,61.758
LINDA,13.601
LINDA,9.8995
LINDA,49.85
LINDA,15.033
LINDA,51.225
LINDA,39.623
LINDA,7.874
LINDA,20.1
LINDA,44.091
LINDA,72.512
LINDA,56.886
LINDA,11.489
LINDA,37.202
LINDA,56.551
LINDA,17.464
LINDA,31.512
LINDA,31.906
LINDA,32.45
LINDA,39.573
LINDA,23.022
LINDA,31.796
LINDA,37.175
LINDA,32.757
LINDA,39.661
LINDA,11.091
LINDA,54.286
LINDA,58.017
LINDA,19.313
LINDA,43.749
LINDA,30.48
LINDA,2.2361
LINDA,17.607
LINDA,3
LINDA,70.675
LINDA,93.252
LINDA,17.493
LINDA,25.884
lesion_gnb,33.779
lesion_gnb,32.156
lesion_gnb,1.4142
lesion_gnb,42.154
lesion_gnb,13.601
lesion_gnb,17.72
lesion_gnb,1.4142
lesion_gnb,8.775
lesion_gnb,2.8284
lesion_gnb,23.173
lesion_gnb,7.874
lesion_gnb,33.749
lesion_gnb,19.672
lesion_gnb,42.907
lesion_gnb,36.892
lesion_gnb,6
lesion_gnb,40.902
lesion_gnb,8.124
lesion_gnb,6
lesion_gnb,1.4142
lesion_gnb,16.031
lesion_gnb,17.321
lesion_gnb,20.518
lesion_gnb,2
lesion_gnb,8.4853
lesion_gnb,35.861
lesion_gnb,34.147
lesion_gnb,36.304
lesion_gnb,7.5498
lesion_gnb,3
lesion_gnb,14.765
lesion_gnb,42.249
lesion_gnb,10.392
lesion_gnb,5.831
lesion_gnb,20.905
lesion_gnb,18.138
lesion_gnb,36.083
lesion_gnb,20.64
lesion_gnb,22.45
ALI,23.431
ALI,6.4807
ALI,21.19
ALI,7
ALI,18.708
ALI,23.791
ALI,28.792
ALI,10.198
ALI,15.811
ALI,38.328
ALI,17.321
ALI,42.202
ALI,66.513
ALI,1
ALI,30.725
ALI,50.06
ALI,37.336
ALI,29.883
ALI,51.078
ALI,28.107
ALI,83.361
ALI,38.406
ALI,4.1231
ALI,28.071
ALI,66.31
ALI,24
ALI,22.045
ALI,16.613
